"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","gender","age","value","value_type","numerator","denominator"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2006","Year","England","Country","All","18","22.8","%","129590","568150"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2007","Year","England","Country","All","18","23.3","%","131010","563130"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2008","Year","England","Country","All","18","24.5","%","141790","578340"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2009","Year","England","Country","All","18","25.2","%","147990","587730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2010","Year","England","Country","All","18","25.3","%","149100","589270"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2011","Year","England","Country","All","18","27.1","%","155020","571650"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2012","Year","England","Country","All","18","26.1","%","149230","572480"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2013","Year","England","Country","All","18","27.8","%","156360","562750"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2014","Year","England","Country","All","18","29.1","%","161970","557260"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2015","Year","England","Country","All","18","30","%","170350","567500"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2016","Year","England","Country","All","18","31.1","%","173620","558520"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2017","Year","England","Country","All","18","31.8","%","175660","552730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2018","Year","England","Country","All","18","32.2","%","174130","540540"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2019","Year","England","Country","All","18","33.6","%","177160","526540"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2020","Year","England","Country","All","18","36.3","%","189630","522820"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2021","Year","England","Country","All","18","37.3","%","201630","540970"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2022","Year","England","Country","All","18","36.4","%","203120","557380"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2006","Year","England","Country","Female","18","25.8","%","72440","280760"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2007","Year","England","Country","Female","18","26.4","%","73490","277890"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2008","Year","England","Country","Female","18","28.3","%","80420","284340"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2009","Year","England","Country","Female","18","28.8","%","83330","289490"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2010","Year","England","Country","Female","18","28.7","%","83020","288950"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2011","Year","England","Country","Female","18","30.7","%","86180","280500"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2012","Year","England","Country","Female","18","29.8","%","83730","280520"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2013","Year","England","Country","Female","18","31.7","%","87540","275730"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2014","Year","England","Country","Female","18","33.2","%","90560","272480"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2015","Year","England","Country","Female","18","34.8","%","96850","278310"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2016","Year","England","Country","Female","18","36.1","%","98420","272930"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2017","Year","England","Country","Female","18","37","%","99760","269750"
"Percentage of 18-year-old state school pupils getting a higher education place","All","All","2018","Year","England","Country","Female","18","37.6","%","99340","264030"
