,country,variable,value
251,USA,1960,69.7707317073171
517,USA,1961,70.2707317073171
783,USA,1962,70.119512195122
1049,USA,1963,69.9170731707317
1315,USA,1964,70.1658536585366
1581,USA,1965,70.2146341463415
1847,USA,1966,70.2121951219512
2113,USA,1967,70.5609756097561
2379,USA,1968,69.9512195121951
2645,USA,1969,70.5073170731708
2911,USA,1970,70.8073170731707
3177,USA,1971,71.1073170731707
3443,USA,1972,71.1560975609756
3709,USA,1973,71.3560975609756
3975,USA,1974,71.9560975609756
4241,USA,1975,72.6048780487805
4507,USA,1976,72.8560975609756
4773,USA,1977,73.2560975609756
5039,USA,1978,73.3560975609756
5305,USA,1979,73.8048780487805
5571,USA,1980,73.609756097561
5837,USA,1981,74.009756097561
6103,USA,1982,74.3609756097561
6369,USA,1983,74.4634146341463
6635,USA,1984,74.5634146341464
6901,USA,1985,74.5634146341464
7167,USA,1986,74.6146341463415
7433,USA,1987,74.7658536585366
7699,USA,1988,74.7658536585366
7965,USA,1989,75.0170731707317
8231,USA,1990,75.2146341463415
8497,USA,1991,75.3658536585366
8763,USA,1992,75.6170731707317
9029,USA,1993,75.419512195122
9295,USA,1994,75.619512195122
9561,USA,1995,75.6219512195122
9827,USA,1996,76.0268292682927
10093,USA,1997,76.4292682926829
10359,USA,1998,76.5804878048781
10625,USA,1999,76.5829268292683
10891,USA,2000,76.6365853658537
11157,USA,2001,76.8365853658537
11423,USA,2002,76.9365853658537
11689,USA,2003,77.0365853658537
11955,USA,2004,77.4878048780488
12221,USA,2005,77.4878048780488
12487,USA,2006,77.6878048780488
12753,USA,2007,77.9878048780488
13019,USA,2008,78.0390243902439
13285,USA,2009,78.390243902439
13551,USA,2010,78.5414634146342
13817,USA,2011,78.6414634146341
14083,USA,2012,78.7414634146342
14349,USA,2013,78.7414634146342
14615,USA,2014,78.8414634146341
14881,USA,2015,78.690243902439
15147,USA,2016,78.5390243902439
15413,USA,2017,78.5390243902439
15679,USA,2018,78.6390243902439
15945,USA,2019,78.7878048780488
16211,USA,2020,76.9804878048781
16477,USA,2021,76.3292682926829
16743,USA,2022,77.4341463414634
