Unnamed: 0,date,value,state
18334,1990-01-01,4.5,New Jersey
18335,1990-02-01,4.6,New Jersey
18336,1990-03-01,4.6,New Jersey
18337,1990-04-01,4.7,New Jersey
18338,1990-05-01,4.7,New Jersey
18339,1990-06-01,4.8,New Jersey
18340,1990-07-01,5.0,New Jersey
18341,1990-08-01,5.1,New Jersey
18342,1990-09-01,5.4,New Jersey
18343,1990-10-01,5.6,New Jersey
18344,1990-11-01,5.8,New Jersey
18345,1990-12-01,6.0,New Jersey
18346,1991-01-01,6.2,New Jersey
18347,1991-02-01,6.4,New Jersey
18348,1991-03-01,6.5,New Jersey
18349,1991-04-01,6.6,New Jersey
18350,1991-05-01,6.6,New Jersey
18351,1991-06-01,6.7,New Jersey
18352,1991-07-01,6.7,New Jersey
18353,1991-08-01,6.8,New Jersey
18354,1991-09-01,6.9,New Jersey
18355,1991-10-01,7.1,New Jersey
18356,1991-11-01,7.3,New Jersey
18357,1991-12-01,7.6,New Jersey
18358,1992-01-01,7.7,New Jersey
18359,1992-02-01,7.9,New Jersey
18360,1992-03-01,8.1,New Jersey
18361,1992-04-01,8.3,New Jersey
18362,1992-05-01,8.6,New Jersey
18363,1992-06-01,8.7,New Jersey
18364,1992-07-01,8.9,New Jersey
18365,1992-08-01,8.9,New Jersey
18366,1992-09-01,8.9,New Jersey
18367,1992-10-01,8.8,New Jersey
18368,1992-11-01,8.7,New Jersey
18369,1992-12-01,8.6,New Jersey
18370,1993-01-01,8.5,New Jersey
18371,1993-02-01,8.4,New Jersey
18372,1993-03-01,8.3,New Jersey
18373,1993-04-01,8.1,New Jersey
18374,1993-05-01,8.0,New Jersey
18375,1993-06-01,7.8,New Jersey
18376,1993-07-01,7.6,New Jersey
18377,1993-08-01,7.5,New Jersey
18378,1993-09-01,7.4,New Jersey
18379,1993-10-01,7.3,New Jersey
18380,1993-11-01,7.2,New Jersey
18381,1993-12-01,7.2,New Jersey
22436,1990-01-01,5.2,Pennsylvania
22437,1990-02-01,5.2,Pennsylvania
22438,1990-03-01,5.2,Pennsylvania
22439,1990-04-01,5.2,Pennsylvania
22440,1990-05-01,5.2,Pennsylvania
22441,1990-06-01,5.3,Pennsylvania
22442,1990-07-01,5.4,Pennsylvania
22443,1990-08-01,5.5,Pennsylvania
22444,1990-09-01,5.7,Pennsylvania
22445,1990-10-01,5.9,Pennsylvania
22446,1990-11-01,6.1,Pennsylvania
22447,1990-12-01,6.3,Pennsylvania
22448,1991-01-01,6.5,Pennsylvania
22449,1991-02-01,6.7,Pennsylvania
22450,1991-03-01,6.9,Pennsylvania
22451,1991-04-01,7.0,Pennsylvania
22452,1991-05-01,7.0,Pennsylvania
22453,1991-06-01,6.9,Pennsylvania
22454,1991-07-01,6.9,Pennsylvania
22455,1991-08-01,6.8,Pennsylvania
22456,1991-09-01,6.9,Pennsylvania
22457,1991-10-01,7.0,Pennsylvania
22458,1991-11-01,7.1,Pennsylvania
22459,1991-12-01,7.3,Pennsylvania
22460,1992-01-01,7.4,Pennsylvania
22461,1992-02-01,7.4,Pennsylvania
22462,1992-03-01,7.5,Pennsylvania
22463,1992-04-01,7.5,Pennsylvania
22464,1992-05-01,7.5,Pennsylvania
22465,1992-06-01,7.5,Pennsylvania
22466,1992-07-01,7.6,Pennsylvania
22467,1992-08-01,7.6,Pennsylvania
22468,1992-09-01,7.5,Pennsylvania
22469,1992-10-01,7.4,Pennsylvania
22470,1992-11-01,7.3,Pennsylvania
22471,1992-12-01,7.2,Pennsylvania
22472,1993-01-01,7.2,Pennsylvania
22473,1993-02-01,7.1,Pennsylvania
22474,1993-03-01,7.0,Pennsylvania
22475,1993-04-01,7.0,Pennsylvania
22476,1993-05-01,7.0,Pennsylvania
22477,1993-06-01,7.0,Pennsylvania
22478,1993-07-01,7.0,Pennsylvania
22479,1993-08-01,6.9,Pennsylvania
22480,1993-09-01,6.8,Pennsylvania
22481,1993-10-01,6.8,Pennsylvania
22482,1993-11-01,6.7,Pennsylvania
22483,1993-12-01,6.7,Pennsylvania
