date,value
1959-07-01,33.0
1959-10-01,33.7
1960-01-01,34.4
1960-04-01,34.0
1960-07-01,34.5
1960-10-01,34.6
1961-01-01,34.9
1961-04-01,35.1
1961-07-01,34.9
1961-10-01,34.8
1962-01-01,35.0
1962-04-01,35.1
1962-07-01,35.3
1962-10-01,35.3
1963-01-01,35.8
1963-04-01,37.1
1963-07-01,37.1
1963-10-01,37.8
1964-01-01,38.2
1964-04-01,38.6
1964-07-01,38.5
1964-10-01,38.9
1965-01-01,38.9
1965-04-01,39.0
1965-07-01,39.2
1965-10-01,39.3
1966-01-01,39.2
1966-04-01,39.4
1966-07-01,39.6
1966-10-01,39.6
1967-01-01,40.2
1967-04-01,40.8
1967-07-01,41.0
1967-10-01,41.3
1968-01-01,42.9
1968-04-01,43.0
1968-07-01,43.7
1968-10-01,43.7
1969-01-01,43.8
1969-04-01,44.1
1969-07-01,44.3
1969-10-01,44.6
1970-01-01,44.3
1970-04-01,45.4
1970-07-01,45.8
1970-10-01,46.6
1971-01-01,46.7
1971-04-01,47.6
1971-07-01,48.6
1971-10-01,49.0
1972-01-01,48.8
1972-04-01,49.9
1972-07-01,50.2
1972-10-01,50.8
1973-01-01,52.8
1973-04-01,52.8
1973-07-01,52.3
1973-10-01,52.0
1974-01-01,50.7
1974-04-01,51.4
1974-07-01,51.7
1974-10-01,50.9
1975-01-01,51.0
1975-04-01,50.3
1975-07-01,50.1
1975-10-01,50.9
1976-01-01,51.8
1976-04-01,51.8
1976-07-01,52.4
1976-10-01,53.4
1977-01-01,53.7
1977-04-01,53.0
1977-07-01,53.3
1977-10-01,54.1
1978-01-01,54.5
1978-04-01,54.9
1978-07-01,55.6
1978-10-01,55.8
1979-01-01,55.3
1979-04-01,57.5
1979-07-01,56.4
1979-10-01,56.6
1980-01-01,56.0
1980-04-01,55.4
1980-07-01,55.6
1980-10-01,55.3
1981-01-01,55.7
1981-04-01,56.4
1981-07-01,57.3
1981-10-01,57.9
1982-01-01,58.1
1982-04-01,59.0
1982-07-01,59.6
1982-10-01,60.3
1983-01-01,61.9
1983-04-01,62.1
1983-07-01,62.4
1983-10-01,62.3
1984-01-01,62.5
1984-04-01,61.5
1984-07-01,61.6
1984-10-01,62.4
1985-01-01,63.0
1985-04-01,64.3
1985-07-01,64.1
1985-10-01,64.0
1986-01-01,64.4
1986-04-01,65.0
1986-07-01,65.4
1986-10-01,66.3
1987-01-01,66.4
1987-04-01,67.1
1987-07-01,67.9
1987-10-01,68.1
1988-01-01,68.5
1988-04-01,68.4
1988-07-01,68.8
1988-10-01,68.9
1989-01-01,68.6
1989-04-01,68.6
1989-07-01,68.6
1989-10-01,68.5
1990-01-01,68.8
1990-04-01,69.1
1990-07-01,68.6
1990-10-01,68.7
1991-01-01,68.9
1991-04-01,69.6
1991-07-01,70.3
1991-10-01,70.9
1992-01-01,71.1
1992-04-01,71.4
1992-07-01,72.0
1992-10-01,73.1
1993-01-01,73.5
1993-04-01,73.9
1993-07-01,74.6
1993-10-01,75.0
1994-01-01,75.4
1994-04-01,75.9
1994-07-01,76.2
1994-10-01,76.4
1995-01-01,76.6
1995-04-01,76.4
1995-07-01,77.0
1995-10-01,77.0
1996-01-01,77.8
1996-04-01,78.1
1996-07-01,78.5
1996-10-01,78.9
1997-01-01,79.4
1997-04-01,79.7
1997-07-01,80.2
1997-10-01,81.1
1998-01-01,81.6
1998-04-01,82.1
1998-07-01,82.0
1998-10-01,82.3
1999-01-01,82.6
1999-04-01,82.8
1999-07-01,83.8
1999-10-01,84.8
2000-01-01,85.6
2000-04-01,85.9
2000-07-01,86.3
2000-10-01,86.9
2001-01-01,87.4
2001-04-01,87.5
2001-07-01,87.8
2001-10-01,87.8
2002-01-01,88.0
2002-04-01,87.9
2002-07-01,88.6
2002-10-01,88.7
2003-01-01,89.3
2003-04-01,89.7
2003-07-01,90.5
2003-10-01,91.0
2004-01-01,90.8
2004-04-01,91.2
2004-07-01,91.3
2004-10-01,91.4
2005-01-01,91.8
2005-04-01,92.6
2005-07-01,93.0
2005-10-01,94.1
2006-01-01,94.1
2006-04-01,94.3
2006-07-01,94.2
2006-10-01,94.5
2007-01-01,95.6
2007-04-01,95.9
2007-07-01,96.2
2007-10-01,96.2
2008-01-01,96.5
2008-04-01,96.0
2008-07-01,95.0
2008-10-01,93.1
2009-01-01,91.7
2009-04-01,92.2
2009-07-01,92.4
2009-10-01,92.6
2010-01-01,93.8
2010-04-01,94.3
2010-07-01,94.2
2010-10-01,94.5
2011-01-01,94.4
2011-04-01,94.4
2011-07-01,95.3
2011-10-01,95.3
2012-01-01,95.8
2012-04-01,95.0
2012-07-01,95.7
2012-10-01,95.1
2013-01-01,95.5
2013-04-01,95.9
2013-07-01,96.0
2013-10-01,96.0
2014-01-01,96.1
2014-04-01,96.5
2014-07-01,96.9
2014-10-01,97.2
2015-01-01,96.7
2015-04-01,97.4
2015-07-01,96.9
2015-10-01,96.8
2016-01-01,97.1
2016-04-01,97.2
2016-07-01,97.5
2016-10-01,98.1
2017-01-01,98.7
2017-04-01,98.9
2017-07-01,99.5
2017-10-01,99.8
2018-01-01,99.3
2018-04-01,99.4
2018-07-01,99.6
2018-10-01,99.2
2019-01-01,99.6
2019-04-01,99.6
2019-07-01,100.6
2019-10-01,100.1
2020-01-01,97.5
2020-04-01,78.7
2020-07-01,92.7
2020-10-01,94.5
2021-01-01,93.4
2021-04-01,99.5
2021-07-01,100.1
2021-10-01,101.4
2022-01-01,101.7
2022-04-01,101.2
2022-07-01,101.2
2022-10-01,100.9
2023-01-01,100.7
2023-04-01,100.8
2023-07-01,100.8
2023-10-01,100.3
2024-01-01,101.6
