,state,naics,num_employees,annual_payroll
8,1,11,6380,307110
128,1,21,6022,449620
223,1,22,15111,1733217
282,1,23,92712,5214537
648,1,31,264687,14263340
2125,1,42,75490,4551803
2781,1,44,227484,6498873
3592,1,48,71277,3374173
4010,1,51,30662,1987626
4249,1,52,69976,5971285
4528,1,53,23690,1150382
4774,1,54,113667,9200592
5188,1,55,21354,1916069
5230,1,56,169540,5277678
5627,1,61,24856,770250
5790,1,62,271154,13134016
6265,1,71,21505,346465
6484,1,72,191518,2857331
6652,1,81,80222,2309103
7061,1,99,188,3941
7075,2,11,546,47591
7160,2,21,10447,1262954
7234,2,22,2144,235593
7290,2,23,16601,1471705
7615,2,31,12721,755794
7955,2,42,8700,558021
8292,2,44,33219,1169118
8932,2,48,19084,1521861
9310,2,51,6366,478864
9473,2,52,7195,586117
9647,2,53,4688,244508
9843,2,54,20100,1579150
10143,2,55,5410,752085
10172,2,56,22306,1139151
10462,2,61,2883,80013
10577,2,62,51984,3372955
10951,2,71,4929,91646
11102,2,72,26875,605701
11258,2,81,9829,375285
11545,2,99,36,2921
11559,4,11,3038,99507
11661,4,21,10535,755356
11763,4,22,12456,1362836
11841,4,23,180561,10753100
12208,4,31,156085,10383306
13710,4,42,99656,7187747
14439,4,44,335051,11343635
15250,4,48,111097,5527687
15671,4,51,56460,4259440
15973,4,52,180224,15388686
16292,4,53,55222,2992760
16557,4,54,169185,13490098
17016,4,55,61991,5005334
17055,4,56,281919,10836311
17481,4,61,68715,2763143
17677,4,62,396025,21043432
18186,4,71,55164,1695153
18456,4,72,315338,5883703
18635,4,81,95729,3298887
19074,4,99,330,15087
19088,5,11,4560,226310
19212,5,21,3665,230550
19303,5,22,7459,745770
19363,5,23,50808,2581622
19720,5,31,162692,7982008
20833,5,42,49442,2761430
21440,5,44,136980,4042625
22239,5,48,58324,2860310
22591,5,51,20589,1540571
22815,5,52,40727,2937379
23063,5,53,13298,539559
23291,5,54,39683,2440190
23660,5,55,36610,4234215
23702,5,56,65961,1825502
24059,5,61,16392,439254
24203,5,62,185291,9015972
24652,5,71,10755,209100
24839,5,72,110002,1698300
25009,5,81,42160,1179069
25378,5,99,136,5010
25392,6,11,31026,1433293
25561,6,21,17662,1630603
25687,6,22,58383,8330550
25794,6,23,860541,61021347
26192,6,31,1161693,88863233
28906,6,42,822095,74933545
29767,6,44,1681501,59240158
30687,6,48,664832,37946029
31325,6,51,731391,147702402
31750,6,52,638864,88181986
32169,6,53,320032,21671669
32471,6,54,1318355,154958799
33016,6,55,368373,60899483
33059,6,56,1653959,94102353
33557,6,61,457042,20545663
33778,6,62,2148566,137607170
34361,6,71,366008,16623496
34717,6,72,1777729,35048370
34932,6,81,630368,21598996
35485,6,99,2439,86515
