,state,naics,num_employees,annual_payroll,year,demRatio,total_pop
0,Alabama,"Agriculture, Forestry, Fishing and Hunting",6380,307110,2020,0.3708862516664528,5031.864
1,Alabama,"Mining, Quarrying, and Oil and Gas Extraction",6022,449620,2020,0.3708862516664528,5031.864
2,Alabama,Utilities,15111,1733217,2020,0.3708862516664528,5031.864
3,Alabama,Construction,92712,5214537,2020,0.3708862516664528,5031.864
4,Alabama,Manufacturing,264687,14263340,2020,0.3708862516664528,5031.864
5,Alabama,Wholesale Trade,75490,4551803,2020,0.3708862516664528,5031.864
6,Alabama,Retail Trade,227484,6498873,2020,0.3708862516664528,5031.864
7,Alabama,Transportation and Warehousing,71277,3374173,2020,0.3708862516664528,5031.864
8,Alabama,Information,30662,1987626,2020,0.3708862516664528,5031.864
9,Alabama,Finance and Insurance,69976,5971285,2020,0.3708862516664528,5031.864
10,Alabama,Real Estate and Rental and Leasing,23690,1150382,2020,0.3708862516664528,5031.864
11,Alabama,"Professional, Scientific, and Technical Services",113667,9200592,2020,0.3708862516664528,5031.864
12,Alabama,Management of Companies and Enterprises,21354,1916069,2020,0.3708862516664528,5031.864
13,Alabama,Administrative and Support and Waste Management and Remediation Services,169540,5277678,2020,0.3708862516664528,5031.864
14,Alabama,Educational Services,24856,770250,2020,0.3708862516664528,5031.864
15,Alabama,Health Care and Social Assistance,271154,13134016,2020,0.3708862516664528,5031.864
16,Alabama,"Arts, Entertainment, and Recreation",21505,346465,2020,0.3708862516664528,5031.864
17,Alabama,Accommodation and Food Services,191518,2857331,2020,0.3708862516664528,5031.864
18,Alabama,Other Services (except Public Administration),80222,2309103,2020,0.3708862516664528,5031.864
19,Alabama,Industries not classified,188,3941,2020,0.3708862516664528,5031.864
20,Alaska,"Agriculture, Forestry, Fishing and Hunting",546,47591,2020,0.4473815127615069,732.964
21,Alaska,"Mining, Quarrying, and Oil and Gas Extraction",10447,1262954,2020,0.4473815127615069,732.964
22,Alaska,Utilities,2144,235593,2020,0.4473815127615069,732.964
23,Alaska,Construction,16601,1471705,2020,0.4473815127615069,732.964
24,Alaska,Manufacturing,12721,755794,2020,0.4473815127615069,732.964
25,Alaska,Wholesale Trade,8700,558021,2020,0.4473815127615069,732.964
26,Alaska,Retail Trade,33219,1169118,2020,0.4473815127615069,732.964
