,year,state,demRatio
0,1976,ALABAMA,0.5572726888447394
8,1976,ALASKA,0.3565313091750692
12,1976,ARIZONA,0.39799978188251545
19,1976,ARKANSAS,0.6496172812966184
24,1976,CALIFORNIA,0.47954821836112543
31,1976,COLORADO,0.4260994599792869
39,1976,CONNECTICUT,0.46733700964038793
43,1976,DELAWARE,0.5196908870235357
50,1976,DISTRICT OF COLUMBIA,0.8163122667772316
55,1976,FLORIDA,0.5192610623078361
60,1976,GEORGIA,0.6693829485931742
62,1976,HAWAII,0.5059199934088795
66,1976,IDAHO,0.37118545633733413
71,1976,ILLINOIS,0.48107590268914247
80,1976,INDIANA,0.45700385792947273
85,1976,IOWA,0.48458496540694423
96,1976,KANSAS,0.44936393675385894
102,1976,KENTUCKY,0.5275424926872652
111,1976,LOUISIANA,0.5177499622274604
119,1976,MAINE,0.480940766261947
122,1976,MARYLAND,0.5303541992343639
124,1976,MASSACHUSETTS,0.5611157822510813
134,1976,MICHIGAN,0.46465074118397737
141,1976,MINNESOTA,0.5489630145887213
153,1976,MISSISSIPPI,0.4962701232447065
160,1976,MISSOURI,0.5110498566748567
165,1976,MONTANA,0.4540418697183741
168,1976,NEBRASKA,0.38449671940126806
173,1976,NEVADA,0.4580980403812241
178,1976,NEW HAMPSHIRE,0.43472692100451377
186,1976,NEW JERSEY,0.4792391503387658
198,1976,NEW MEXICO,0.4828440433039679
203,1976,NEW YORK,0.4865083285569763
212,1976,NORTH CAROLINA,0.5526918671248569
218,1976,NORTH DAKOTA,0.4577004318753616
228,1976,OHIO,0.4889868666639419
239,1976,OKLAHOMA,0.48747220190231
242,1976,OREGON,0.47618062757069785
246,1976,PENNSYLVANIA,0.5039567935072532
254,1976,RHODE ISLAND,0.5544200455935935
260,1976,SOUTH CAROLINA,0.5616951766982355
266,1976,SOUTH DAKOTA,0.48912125263570994
270,1976,TENNESSEE,0.5594074830696869
281,1976,TEXAS,0.511389568072175
288,1976,UTAH,0.3364817873758818
296,1976,VERMONT,0.42304053245750456
302,1976,VIRGINIA,0.47958215632133516
308,1976,WASHINGTON,0.46114260440466104
318,1976,WEST VIRGINIA,0.5806951864533234
320,1976,WISCONSIN,0.4950336357441171
330,1976,WYOMING,0.39809265525159426
333,1980,ALABAMA,0.47448859067804633
343,1980,ALASKA,0.2640790179557575
348,1980,ARIZONA,0.28244683589928427
356,1980,ARKANSAS,0.4752263062004675
363,1980,CALIFORNIA,0.35919436910764124
370,1980,COLORADO,0.3107003250453797
378,1980,CONNECTICUT,0.3852220566954778
384,1980,DELAWARE,0.4487414498362103
388,1980,DISTRICT OF COLUMBIA,0.7489317898199426
398,1980,FLORIDA,0.38500219830769633
402,1980,GEORGIA,0.5579610534786652
406,1980,HAWAII,0.4480211812573569
413,1980,IDAHO,0.25190715792890767
418,1980,ILLINOIS,0.41716408184817594
427,1980,INDIANA,0.3765319243739945
435,1980,IOWA,0.3860416298273987
446,1980,KANSAS,0.33287575462214036
454,1980,KENTUCKY,0.4765391582608266
462,1980,LOUISIANA,0.45748231779727505
469,1980,MAINE,0.42250354199051265
475,1980,MARYLAND,0.4713812953749961
480,1980,MASSACHUSETTS,0.41749779128319514
487,1980,MICHIGAN,0.42497413500949555
493,1980,MINNESOTA,0.4650156244212726
505,1980,MISSISSIPPI,0.48139164564059433
511,1980,MISSOURI,0.4434571659339068
517,1980,MONTANA,0.32430650195630195
521,1980,NEBRASKA,0.2602273846697512
525,1980,NEVADA,0.2735666332912037
529,1980,NEW HAMPSHIRE,0.28350738300476575
538,1980,NEW JERSEY,0.3855799204485422
551,1980,NEW MEXICO,0.36784828937591646
557,1980,NEW YORK,0.4399209991552669
569,1980,NORTH CAROLINA,0.47182855353903075
575,1980,NORTH DAKOTA,0.262985029025359
585,1980,OHIO,0.40909813537809175
594,1980,OKLAHOMA,0.3496766135401337
598,1980,OREGON,0.3866981065004621
604,1980,PENNSYLVANIA,0.4247593062020594
610,1980,RHODE ISLAND,0.4768214786269103
619,1980,SOUTH CAROLINA,0.4820896631384125
624,1980,SOUTH DAKOTA,0.3169180630021696
629,1980,TENNESSEE,0.4840771851910466
640,1980,TEXAS,0.414200301389191
645,1980,UTAH,0.20568664839311962
654,1980,VERMONT,0.3842118340920492
663,1980,VIRGINIA,0.40308740686118993
669,1980,WASHINGTON,0.3731607202504141
677,1980,WEST VIRGINIA,0.49810834807479853
682,1980,WISCONSIN,0.4318031550825899
693,1980,WYOMING,0.27970211586018007
697,1984,ALABAMA,0.38280781265064545
704,1984,ALASKA,0.29867777751017555
708,1984,ARIZONA,0.32542643169830887
712,1984,ARKANSAS,0.38290785001458605
722,1984,CALIFORNIA,0.41267775699231596
727,1984,COLORADO,0.3512289830011271
735,1984,CONNECTICUT,0.3882998159383734
740,1984,DELAWARE,0.3993212136448627
745,1984,DISTRICT OF COLUMBIA,0.853848775131574
755,1984,FLORIDA,0.3466024696827862
758,1984,GEORGIA,0.3978530524412154
761,1984,HAWAII,0.43815915627996166
766,1984,IDAHO,0.2639221294728854
770,1984,ILLINOIS,0.43296553206747834
779,1984,INDIANA,0.3768271378985602
783,1984,IOWA,0.4588708180375131
792,1984,KANSAS,0.32598036577621525
798,1984,KENTUCKY,0.39401246581394755
807,1984,LOUISIANA,0.38175392630280136
815,1984,MAINE,0.3878104074165136
820,1984,MARYLAND,0.4701639086016661
826,1984,MASSACHUSETTS,0.4843378267340214
830,1984,MICHIGAN,0.4023607594370667
840,1984,MINNESOTA,0.49718846563288427
852,1984,MISSISSIPPI,0.3742328159268264
860,1984,MISSOURI,0.39975249332122964
862,1984,MONTANA,0.381765818454278
865,1984,NEBRASKA,0.28809826864389887
870,1984,NEVADA,0.32419345140193195
873,1984,NEW HAMPSHIRE,0.30945168987719335
878,1984,NEW JERSEY,0.3919754793710855
887,1984,NEW MEXICO,0.392264323347007
895,1984,NEW YORK,0.4409238688901262
904,1984,NORTH CAROLINA,0.37891963678672186
908,1984,NORTH DAKOTA,0.33798964951403204
918,1984,OHIO,0.40003199484576185
927,1984,OKLAHOMA,0.30667146620625063
930,1984,OREGON,0.43739681230009614
933,1984,PENNSYLVANIA,0.45989176666694875
939,1984,RHODE ISLAND,0.4801736465532572
948,1984,SOUTH CAROLINA,0.3556517151267541
953,1984,SOUTH DAKOTA,0.365287997810405
957,1984,TENNESSEE,0.4157224941924412
967,1984,TEXAS,0.36113948292667203
971,1984,UTAH,0.246752194849251
979,1984,VERMONT,0.408124112704158
988,1984,VIRGINIA,0.3709293848278818
991,1984,WASHINGTON,0.42580817212559535
1001,1984,WEST VIRGINIA,0.44597834567008543
1006,1984,WISCONSIN,0.4502170060980545
1017,1984,WYOMING,0.28242877100884806
1020,1988,ALABAMA,0.39863298309147205
1025,1988,ALASKA,0.362709628415519
1031,1988,ARIZONA,0.387438741228785
1036,1988,ARKANSAS,0.4219173216645847
1042,1988,CALIFORNIA,0.4755944256460335
1047,1988,COLORADO,0.45282404324122666
1053,1988,CONNECTICUT,0.4687451936200372
1058,1988,DELAWARE,0.4347775630174756
1061,1988,DISTRICT OF COLUMBIA,0.8264697190437429
1071,1988,FLORIDA,0.3850721693191546
1076,1988,GEORGIA,0.394984284444916
1080,1988,HAWAII,0.5426944007944456
1086,1988,IDAHO,0.36010641419377554
1090,1988,ILLINOIS,0.4860455526505115
1095,1988,INDIANA,0.39686187674102574
1097,1988,IOWA,0.5471192398259158
1108,1988,KANSAS,0.4255964488985382
1111,1988,KENTUCKY,0.4388359469103233
1116,1988,LOUISIANA,0.4406455710040892
1122,1988,MAINE,0.4388353887592674
1127,1988,MARYLAND,0.48199034274054775
1131,1988,MASSACHUSETTS,0.5322905149306765
1137,1988,MICHIGAN,0.4567207834593339
1141,1988,MINNESOTA,0.5291283342633263
1154,1988,MISSISSIPPI,0.39067144591622144
1158,1988,MISSOURI,0.4785044916272857
1161,1988,MONTANA,0.46198526556440983
1165,1988,NEBRASKA,0.39191038074576884
1169,1988,NEVADA,0.38684125397440644
1173,1988,NEW HAMPSHIRE,0.36334498640475
1177,1988,NEW JERSEY,0.4259814237730408
1188,1988,NEW MEXICO,0.4689357425482415
1195,1988,NEW YORK,0.5019497561012464
1206,1988,NORTH CAROLINA,0.41706311464272827
1210,1988,NORTH DAKOTA,0.429720010361265
1216,1988,OHIO,0.4414684136075665
1223,1988,OKLAHOMA,0.41281651460757823
1226,1988,OREGON,0.5127811239799815
1232,1988,PENNSYLVANIA,0.48386740504438575
1238,1988,RHODE ISLAND,0.5563785459021012
1248,1988,SOUTH CAROLINA,0.37581198548897626
1252,1988,SOUTH DAKOTA,0.4650612956922084
1255,1988,TENNESSEE,0.4154585179526356
1259,1988,TEXAS,0.433493692203095
1264,1988,UTAH,0.320464352836441
1273,1988,VERMONT,0.47579809968437664
1283,1988,VIRGINIA,0.3923140487194568
1286,1988,WASHINGTON,0.5004768790078343
1293,1988,WEST VIRGINIA,0.5219811085378939
1296,1988,WISCONSIN,0.5141403024628491
1301,1988,WYOMING,0.3801337857049804
1305,1992,ALABAMA,0.4088006350485172
1311,1992,ALASKA,0.3028711132430195
1321,1992,ARIZONA,0.3652045259671481
1328,1992,ARKANSAS,0.5320795284925204
1332,1992,CALIFORNIA,0.46006587840280944
1339,1992,COLORADO,0.40128028651907366
1348,1992,CONNECTICUT,0.42218572959541034
1353,1992,DELAWARE,0.43523927905531384
1358,1992,DISTRICT OF COLUMBIA,0.8464090485648498
1369,1992,FLORIDA,0.3899012156452978
1373,1992,GEORGIA,0.4346868533599755
1378,1992,HAWAII,0.48092757790163126
1386,1992,IDAHO,0.2841921205358069
1390,1992,ILLINOIS,0.48579677819917283
1400,1992,INDIANA,0.3679390564346401
1405,1992,IOWA,0.43285838623305506
