,candidate,state,spending,year
1,"McCain, John S",Alaska,333762.32,2008
2,"McCain, John S",Alabama,1325086.19,2008
3,"McCain, John S",Arkansas,29328.83,2008
4,"McCain, John S",Arizona,15497810.46,2008
5,"McCain, John S",California,7326717.33,2008
6,"McCain, John S",Colorado,1012884.58,2008
7,"McCain, John S",Connecticut,241202.72999999998,2008
8,"McCain, John S",District of Columbia,9719344.84,2008
9,"McCain, John S",Delaware,6685.44,2008
11,"McCain, John S",Florida,6077131.6,2008
12,"McCain, John S",Georgia,1941499.49,2008
14,"McCain, John S",Hawaii,6673.29,2008
15,"McCain, John S",Iowa,928022.99,2008
16,"McCain, John S",Idaho,6016.7,2008
17,"McCain, John S",Illinois,2465388.52,2008
18,"McCain, John S",Indiana,2339128.69,2008
19,"McCain, John S",Kansas,4259097.53,2008
20,"McCain, John S",Kentucky,97544.14,2008
21,"McCain, John S",Louisiana,190805.13,2008
22,"McCain, John S",Massachusetts,1186072.73,2008
23,"McCain, John S",Maryland,122532734.88,2008
24,"McCain, John S",Maine,46608.04,2008
25,"McCain, John S",Michigan,2090265.71,2008
26,"McCain, John S",Minnesota,5373211.44,2008
27,"McCain, John S",Missouri,585104.72,2008
28,"McCain, John S",Mississippi,416116.68,2008
29,"McCain, John S",Montana,85926.95,2008
30,"McCain, John S",North Carolina,1040013.98,2008
31,"McCain, John S",North Dakota,2982.5299999999997,2008
32,"McCain, John S",Nebraska,27059.45,2008
33,"McCain, John S",New Hampshire,1456729.74,2008
34,"McCain, John S",New Jersey,2428653.75,2008
35,"McCain, John S",New Mexico,2630770.35,2008
37,"McCain, John S",Nevada,267749.44,2008
38,"McCain, John S",New York,7424207.69,2008
39,"McCain, John S",Ohio,7507046.54,2008
40,"McCain, John S",Oklahoma,177270.16,2008
42,"McCain, John S",Oregon,71501.61,2008
43,"McCain, John S",Pennsylvania,5626315.08,2008
46,"McCain, John S",Rhode Island,9441.4,2008
47,"McCain, John S",South Carolina,1749206.18,2008
48,"McCain, John S",South Dakota,22311.7,2008
49,"McCain, John S",Tennessee,1013914.22,2008
50,"McCain, John S",Texas,6906158.34,2008
52,"McCain, John S",Utah,1171612.53,2008
53,"McCain, John S",Virginia,59199833.83,2008
54,"McCain, John S",Vermont,7991.8099999999995,2008
55,"McCain, John S",Washington,200601.34,2008
56,"McCain, John S",Wisconsin,986316.4,2008
57,"McCain, John S",West Virginia,45468.42,2008
58,"McCain, John S",Wyoming,4573.6,2008
66,"Obama, Barack",Alaska,92916.02,2008
67,"Obama, Barack",Alabama,2648177.33,2008
68,"Obama, Barack",Arkansas,110195.2,2008
70,"Obama, Barack",Arizona,1979372.1,2008
74,"Obama, Barack",California,26787699.24,2008
77,"Obama, Barack",Colorado,7642991.89,2008
