,year,state,demRatio
0,1976,Alabama,0.5666672397785496
8,1976,Alaska,0.38108171226419174
12,1976,Arizona,0.41386696983103816
19,1976,Arkansas,0.6504885147819915
24,1976,California,0.49082172693181797
31,1976,Colorado,0.4409245616838536
39,1976,Connecticut,0.4738998329378652
43,1976,Delaware,0.527301380893124
50,1976,District of Columbia,0.8317772238685264
55,1976,Florida,0.526802018720792
60,1976,Georgia,0.6693829485931742
62,1976,Hawaii,0.5128263123829938
66,1976,Idaho,0.38267009374055033
71,1976,Illinois,0.4899716625636061
80,1976,Indiana,0.46151222192305175
85,1976,Iowa,0.4948383414684765
96,1976,Kansas,0.4612445923746186
102,1976,Kentucky,0.5365402864664347
111,1976,Louisiana,0.5295957514788067
119,1976,Maine,0.49568821102904614
122,1976,Maryland,0.5303541992343639
124,1976,Massachusetts,0.5811462217110593
134,1976,Michigan,0.4725622595013001
141,1976,Minnesota,0.566419819719711
153,1976,Mississippi,0.509678885287533
160,1976,Missouri,0.5184190712575877
165,1976,Montana,0.46215653854013783
168,1976,Nebraska,0.39373548552603155
173,1976,Nevada,0.4773060407118378
178,1976,New Hampshire,0.44260747047185084
186,1976,New Jersey,0.48899331526049294
198,1976,New Mexico,0.4875523248345117
203,1976,New York,0.534451946087019
212,1976,North Carolina,0.5555329249846495
218,1976,North Dakota,0.4696198949482679
228,1976,Ohio,0.5011635459664862
239,1976,Oklahoma,0.49384779483374297
242,1976,Oregon,0.4991282682307967
246,1976,Pennsylvania,0.513571390921736
254,1976,Rhode Island,0.5567237731880602
260,1976,South Carolina,0.565661090449159
266,1976,South Dakota,0.4925696563319523
270,1976,Tennessee,0.5657294458053167
281,1976,Texas,0.5159850322837711
288,1976,Utah,0.35019941617405553
296,1976,Vermont,0.43661363189943037
302,1976,Virginia,0.4931358114453634
308,1976,Washington,0.47979706432204833
318,1976,West Virginia,0.5806951864533234
320,1976,Wisconsin,0.5086164366749967
330,1976,Wyoming,0.40165595394821757
333,1980,Alabama,0.49323661692960535
343,1980,Alaska,0.32700814355158886
348,1980,Arizona,0.3178791316766491
356,1980,Arkansas,0.4968029405707653
363,1980,California,0.4053337544079053
370,1980,Colorado,0.36069659787135405
378,1980,Connecticut,0.4444280367728735
384,1980,Delaware,0.48733214749822584
388,1980,District of Columbia,0.8481673005783359
398,1980,Florida,0.4094923705280309
402,1980,Georgia,0.5766239969245167
406,1980,Hawaii,0.510840592350869
413,1980,Idaho,0.2748677321266878
418,1980,Illinois,0.45660337617889035
427,1980,Indiana,0.4020267132985023
435,1980,Iowa,0.42936849728791643
446,1980,Kansas,0.3652451056147966
