,state,year,college,value,quater_avg,halfYear_avg,swingIndex
0,Alabama,1976,9,7.0,6.8999999999999995,6.75,13.333447955709921
1,Alaska,1976,3,8.6,8.299999999999999,7.816666666666666,23.783657547161663
2,Arizona,1976,6,9.4,9.5,9.583333333333332,17.22660603379238
3,Arkansas,1976,6,6.6,6.6,6.699999999999999,30.097702956398308
4,California,1976,45,9.3,9.266666666666666,9.15,1.8356546136364171
5,Colorado,1976,7,6.4,6.266666666666667,6.016666666666666,11.815087663229285
6,Connecticut,1976,8,8.5,8.666666666666666,8.9,5.220033412426961
7,District of Columbia,1976,3,8.9,8.799999999999999,8.6,66.35544477370527
8,Delaware,1976,3,9.2,9.099999999999998,8.933333333333334,5.46027617862479
9,Florida,1976,17,9.1,9.1,9.116666666666667,5.360403744158404
10,Georgia,1976,12,8.1,8.066666666666665,8.033333333333333,33.87658971863483
11,Hawaii,1976,4,8.7,8.73333333333333,8.883333333333333,2.565262476598762
12,Idaho,1976,4,5.8,5.699999999999998,5.6499999999999995,23.465981251889943
13,Illinois,1976,26,6.4,6.499999999999997,6.55,2.005667487278784
14,Indiana,1976,13,5.8,5.766666666666663,5.750000000000001,7.697555615389662
15,Iowa,1976,8,4.0,3.9666666666666646,3.966666666666667,1.032331706304701
16,Kansas,1976,7,4.1,4.1,4.1,7.751081525076275
17,Kentucky,1976,9,5.2,5.23333333333333,5.333333333333335,7.30805729328694
18,Louisiana,1976,10,6.9,6.9,6.833333333333336,5.919150295761333
19,Maine,1976,4,8.9,8.766666666666662,8.600000000000001,0.8623577941907823
20,Maryland,1976,10,6.7,6.7,6.6333333333333355,6.070839846872778
21,Massachusetts,1976,14,9.0,9.099999999999996,9.350000000000001,16.229244342211867
22,Michigan,1976,21,9.0,9.0,9.116666666666669,5.48754809973998
23,Minnesota,1976,10,5.9,5.7999999999999945,5.716666666666669,13.2839639439422
24,Mississippi,1976,7,6.7,6.566666666666659,6.400000000000001,1.9357770575066047
25,Missouri,1976,12,6.5,6.466666666666661,6.333333333333335,3.6838142515175365
26,Montana,1976,4,6.0,5.966666666666659,5.916666666666668,7.568692291972445
27,Nebraska,1976,5,3.1,3.1,3.0833333333333344,21.252902894793703
28,Nevada,1976,3,8.7,8.633333333333324,8.633333333333335,4.53879185763244
29,New Hampshire,1976,4,6.3,6.3,6.366666666666668,11.478505905629843
30,New Jersey,1976,17,10.5,10.46666666666666,10.41666666666667,2.201336947901422
31,New Mexico,1976,4,9.0,8.866666666666658,8.733333333333334,2.4895350330976562
32,New York,1976,41,10.2,10.2,10.2,6.890389217403792
33,North Carolina,1976,13,6.3,6.166666666666658,6.050000000000002,11.106584996929891
34,North Dakota,1976,3,4.1,4.066666666666658,3.933333333333334,6.076021010346421
35,Ohio,1976,25,7.5,7.5,7.516666666666668,0.2327091932972314
36,Oklahoma,1976,8,5.3,5.366666666666657,5.466666666666668,1.230441033251417
37,Oregon,1976,6,9.4,9.29999999999999,9.200000000000001,0.17434635384065977
38,Pennsylvania,1976,27,8.0,7.933333333333323,7.933333333333334,2.7142781843471964
39,Rhode Island,1976,4,8.6,8.39999999999999,8.116666666666667,11.344754637612041
40,South Carolina,1976,8,6.9,6.833333333333322,6.833333333333333,13.132218089831804
41,South Dakota,1976,4,3.6,3.499999999999988,3.35,1.4860687336095357
42,Tennessee,1976,10,6.4,6.266666666666655,6.133333333333333,13.14588916106334
43,Texas,1976,26,5.7,5.7,5.783333333333334,3.1970064567542256
44,Utah,1976,4,5.5,5.433333333333322,5.466666666666668,29.960116765188904
45,Vermont,1976,3,7.7,7.866666666666653,8.083333333333332,12.677273620113938
46,Virginia,1976,12,5.7,5.73333333333332,5.766666666666667,1.3728377109273215
47,Washington,1976,9,9.3,9.133333333333317,8.933333333333334,4.0405871355903455
48,West Virginia,1976,6,6.9,6.866666666666652,7.050000000000001,16.13903729066468
49,Wisconsin,1976,11,5.4,5.4,5.366666666666667,1.723287334999335
50,Wyoming,1976,3,3.7,3.7,3.716666666666667,19.668809210356496
51,Alabama,1980,9,9.5,9.466666666666667,9.316666666666666,1.3526766140789404
52,Alaska,1980,3,9.5,9.700000000000001,9.866666666666667,34.59837128968224
53,Arizona,1980,6,6.5,6.8,7.050000000000001,36.42417366467018
54,Arkansas,1980,6,8.1,8.1,8.033333333333333,0.6394118858469411
55,California,1980,45,7.1,7.166666666666665,7.183333333333334,18.93324911841894
56,Colorado,1980,7,6.3,6.433333333333334,6.5,27.8606804257292
57,Connecticut,1980,8,5.9,5.9,5.883333333333334,11.114392645425298
58,District of Columbia,1980,3,8.1,8.066666666666665,7.866666666666666,69.63346011566718
59,Delaware,1980,3,7.7,7.8,7.8500000000000005,2.5335705003548425
60,Florida,1980,17,6.2,6.133333333333332,6.133333333333333,18.101525894393824
61,Georgia,1980,12,6.2,6.399999999999999,6.616666666666667,15.324799384903343
62,Hawaii,1980,4,5.1,5.1,5.083333333333333,2.1681184701737966
