state,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Alabama,54.6,56.4,60.8,56.9,63.6,55.6,59.6,61.8,60.8,59.9,56.3712,59.6
Alaska,,56.8,59.1,59.4,68.6,59.5,65.5,65,62.4,56,59.4061,62.4
Arizona,,53.5,54,54,64.7,47.3,46.7,54.3,53.3,49.6,53.288,64.7
Arkansas,,57.2,60.3,55.8,58,51.5,49.4,56.7,51.8,51.1,56.0106,51.9
California,54.8,53.8,55.7,51.7,52.8,48.4,46.4,49.1,51.2,47.5,48.2247,55.7
Colorado,,63.4,60.5,65.4,68.8,58.8,53.6,61.7,62.5,65.4,63.8187,62.7
Connecticut,64.4,67.6,64.2,63.9,71.7,58.5,55.2,58.5,60.8,57.5,57.489,60.5
Delaware,,60.4,58.9,58.7,66.1,54.7,62.2,62.8,63,62.2,57.1709,63.8
District of Columbia,,48.9,54,52.7,66.1,59.6,65.6,62,65.3,67.7,68.7232,77.8
Florida,54.7,55.5,53.3,54.5,55.8,50.7,51.6,56.1,56.5,53.9,52.9428,56.4
Georgia,54.1,53.5,52.4,49.6,54.1,49.6,49,52.6,59.6,58.1,55.6772,60.9
Hawaii,,55.9,54.5,54.7,55.2,43.1,39.7,46.2,46.8,47.4,43.2748,59.7
Idaho,,70.1,67.5,63.9,66.9,60.1,53.9,58.7,58.8,60.2,58.2953,61.6
Illinois,65.6,66.4,66.9,60.7,65.1,55.6,56.8,61,57.1,56.2,58.8256,62.7
Indiana,64.8,61.6,62.3,60.3,63,55.8,58.5,57.3,58.8,57.7,56.0321,58.9
Iowa,67.6,67.7,68.6,63.6,70.8,61.1,64.1,68.8,66.9,66.7,60.7381,68.5
Kansas,,63.6,63.3,60.6,71.9,62,60.2,59.7,59.8,58.9,58.0303,60.1
Kentucky,55.6,56.9,59,49.7,57.6,52.8,54.9,63.4,61.4,57.6,55.2576,65.3
Louisiana,59.9,63.9,64.9,65.2,68.6,61.8,64.6,63.1,68,64.7,59.6884,59.4
Maine,,68.2,68.7,66.7,74.1,67.7,69.2,72,70.2,67.2,71.3014,70.5
Maryland,58.7,58.6,60,54.8,66.4,54.4,57.1,59.7,61.9,58.7,59.1958,68.7
Massachusetts,68.9,65.6,60.9,63.6,65.8,56.3,60.1,63.7,61.3,65.4,61.6879,58.9
Michigan,64,64.1,62.3,59.5,65.9,58.1,60.1,64.7,65,64.5,61.814,64.1
Minnesota,75.4,73.3,75.6,69.7,74.2,66.9,67.8,76.7,70.8,70.5,65.3494,74.3
Mississippi,,67.3,69.3,62.6,66.7,55.1,59.8,60.7,68.2,73.3,66.7048,69.2
Missouri,63.1,67.3,65.5,64.5,66.2,61.1,65.4,66.3,64.2,62.3,62.8172,64.5
Montana,,67.6,70.8,68.6,71.4,67.3,62.2,69.9,64.7,64.5,65.2467,72.6
Nebraska,,63.3,62.7,63.4,66.1,61,58.9,61.3,64.5,58.2,63.4282,62.2
Nevada,,49.3,46.1,46.9,58.1,47.8,46.5,51.3,52.8,51.4,53.4962,56.3
New Hampshire,,68.2,59.7,58,64.6,60.1,63.3,68.9,69.8,66.9,66.8524,72.4
New Jersey,59.1,59.6,60.9,59.5,61.2,54.7,55.2,57.6,56,54.5,53.41,68.2
New Mexico,,58.8,61.7,54.5,62.6,51.7,51.3,60.9,57.4,56.5,49.4455,58.3
New York,56.4,54.8,57.8,54,56.8,50.9,51,53.1,51.5,50.9,50.7469,57
North Carolina,48.7,52.2,56.5,52.9,60,54,53.2,58.2,63.8,63.7,61.5973,58.9
North Dakota,,71.9,71,73.2,71.1,65.8,69.8,70.8,66.3,62.2,62.1371,65.3
Ohio,59.5,60.7,62.3,62.1,64.3,58.7,58.1,64.8,64.5,61.7,61.3801,68.5
Oklahoma,,59.4,59.7,55.6,67.5,58.5,58.3,59.2,56.5,51,53.186,55.5
Oregon,,65.9,67,63.8,69.1,61.1,60.8,70.6,62.6,63.3,60.9727,71.3
Pennsylvania,57.3,54.9,58.6,54.8,59.9,55,55.7,62.5,60.8,59.1,60.2019,68.2
Rhode Island ,,64.7,62.7,60.7,69,60.6,60.1,57.4,63,57.4,55.5182,61.3
South Carolina,,51.4,48.6,49.2,58,54.5,58.9,62,63.4,62.2,59.8218,61.3
South Dakota,,74.5,68.4,72,70.2,64.3,58.7,67.1,66.1,60.1,57.3368,57.7
Tennessee,55.2,56.7,58,51.4,55.6,53.1,52.3,52.7,53.6,53.7,52.0201,63.3
Texas,53.2,51.1,54.4,53.9,55.6,46.2,48.2,50.3,48.8,46.4,47.7204,55.3
Utah ,,72.2,71.3,69.8,72.3,53,56.3,62.8,50.5,53.3,58.8764,59.7
Vermont,,61.3,61.1,64,68.6,59.5,63.3,65.4,63.2,62.1,61.0498,67.5
Virginia,55.2,55.2,56.6,58,61.2,56.4,57.2,58.4,63.8,62,62.6353,66
Washington,64.4,61.2,64.5,61.9,66.3,60,58.6,62,62.6,60.7,60.4808,64.3
West Virginia,,58.4,59.1,52.7,57.3,50.2,52.1,57.2,53.1,47.5,50.4223,55.3
Wisconsin,72.4,74.5,71.5,70.2,75.3,62.4,67.8,73,68.5,71.9,68.7038,71.7
Wyoming,,59.4,66.3,61.7,64.2,66.2,62.5,66.3,62.9,57.8,63.5263,64.1
