,state,year,voteRate,demRatio
0,Alabama,1976,54.6,0.5666672397785496
1,Alaska,1976,,0.3810817122641917
2,Arizona,1976,,0.4138669698310381
3,Arkansas,1976,,0.6504885147819915
4,California,1976,54.8,0.4908217269318179
5,Colorado,1976,,0.4409245616838536
6,Connecticut,1976,64.4,0.4738998329378652
7,Delaware,1976,,0.527301380893124
8,District of Columbia,1976,,0.8317772238685264
9,Florida,1976,54.7,0.526802018720792
10,Georgia,1976,54.1,0.6693829485931742
11,Hawaii,1976,,0.5128263123829938
12,Idaho,1976,,0.3826700937405503
13,Illinois,1976,65.6,0.4899716625636061
14,Indiana,1976,64.8,0.4615122219230517
15,Iowa,1976,67.6,0.4948383414684765
16,Kansas,1976,,0.4612445923746186
17,Kentucky,1976,55.6,0.5365402864664347
18,Louisiana,1976,59.9,0.5295957514788067
19,Maine,1976,,0.4956882110290461
20,Maryland,1976,58.7,0.5303541992343639
21,Massachusetts,1976,68.9,0.5811462217110593
22,Michigan,1976,64.0,0.4725622595013001
23,Minnesota,1976,75.4,0.566419819719711
24,Mississippi,1976,,0.509678885287533
25,Missouri,1976,63.1,0.5184190712575877
26,Montana,1976,,0.4621565385401378
27,Nebraska,1976,,0.3937354855260315
28,Nevada,1976,,0.4773060407118378
29,New Hampshire,1976,,0.4426074704718508
30,New Jersey,1976,59.1,0.4889933152604929
31,New Mexico,1976,,0.4875523248345117
32,New York,1976,56.4,0.534451946087019
33,North Carolina,1976,48.7,0.5555329249846495
34,North Dakota,1976,,0.4696198949482679
35,Ohio,1976,59.5,0.5011635459664862
36,Oklahoma,1976,,0.4938477948337429
37,Oregon,1976,,0.4991282682307967
38,Pennsylvania,1976,57.3,0.513571390921736
39,South Carolina,1976,,0.565661090449159
40,South Dakota,1976,,0.4925696563319523
41,Tennessee,1976,55.2,0.5657294458053167
42,Texas,1976,53.2,0.5159850322837711
43,Vermont,1976,,0.4366136318994303
44,Virginia,1976,55.2,0.4931358114453634
45,Washington,1976,64.4,0.4797970643220483
46,West Virginia,1976,,0.5806951864533234
47,Wisconsin,1976,72.4,0.5086164366749967
48,Wyoming,1976,,0.4016559539482175
49,Alabama,1980,56.4,0.4932366169296053
50,Alaska,1980,56.8,0.3270081435515888
51,Arizona,1980,53.5,0.3178791316766491
52,Arkansas,1980,57.2,0.4968029405707653
53,California,1980,53.8,0.4053337544079053
54,Colorado,1980,63.4,0.360696597871354
55,Connecticut,1980,67.6,0.4444280367728735
56,Delaware,1980,60.4,0.4873321474982258
57,District of Columbia,1980,48.9,0.8481673005783359
58,Florida,1980,55.5,0.4094923705280309
59,Georgia,1980,53.5,0.5766239969245167
60,Hawaii,1980,55.9,0.510840592350869
61,Idaho,1980,70.1,0.2748677321266878
62,Illinois,1980,66.4,0.4566033761788903
63,Indiana,1980,61.6,0.4020267132985023
64,Iowa,1980,67.7,0.4293684972879164
65,Kansas,1980,63.6,0.3652451056147966
66,Kentucky,1980,56.9,0.4928725439873041
67,Louisiana,1980,63.9,0.4718911401140074
68,Maine,1980,68.2,0.4809051656597664
69,Maryland,1980,58.6,0.516191380662185
70,Massachusetts,1980,65.6,0.4990932698314367
71,Michigan,1980,64.1,0.4645358910320158
72,Minnesota,1980,73.3,0.5221361455718679
73,Mississippi,1980,67.3,0.4932166779645438
74,Missouri,1980,67.3,0.4643458565855658
75,Montana,1980,67.6,0.3633475554570473
76,Nebraska,1980,63.3,0.2841755487178086
